Constituent ID,History Total Years As Member,History Consecutive Years Without A Drop,Current Standing
"107101595","6","0","Dropped"
"107103688","3","0","Dropped"
"107103688","1","0","Dropped"
"107104531","11","11","Active"
"107107247","2","0","Dropped"
"107107247","1","0","Dropped"
"107107247","2","0","Dropped"
"107107247","3","0","Dropped"
"107107897","3","0","Dropped"
"107110621","3","0","Dropped"
"107110621","2","0","Dropped"
"107110621","1","0","Dropped"
"107110719","3","0","Dropped"
"107110719","2","0","Dropped"
"107110719","1","0","Dropped"
"107110719","3","0","Dropped"
"107111288","11","11","Active"
"107111724","3","0","Dropped"
"107111724","2","0","Dropped"
"107112798","11","11","Active"
"107113984","3","0","Dropped"
"107114261","3","0","Dropped"
"107114261","2","0","Dropped"
"107114261","1","0","Dropped"
"107114261","2","0","Dropped"
"107119193","3","0","Dropped"
"107119261","8","0","Dropped"
"107119319","3","0","Dropped"
"107159791","3","0","Dropped"
"107159791","2","0","Dropped"
"107159791","1","0","Dropped"
"107192753","4","0","Dropped"
"107192753","3","0","Dropped"
"107192753","2","0","Dropped"
"107192753","1","0","Dropped"
"107192753","2","0","Dropped"
"107192823","1","0","Dropped"
"107192823","2","0","Dropped"
"107192823","3","0","Dropped"
"107192924","2","0","Dropped"
"107192924","1","0","Dropped"
"107192924","11","6","Active"
"107193049","2","0","Dropped"
"107193049","11","11","Active"
"107193070","3","0","Dropped"
"107193070","2","0","Dropped"
"107193097","6","0","Dropped"
"107193128","3","0","Dropped"
"107193128","2","0","Dropped"
"107193128","1","0","Dropped"
"107193128","3","0","Dropped"
"107193154","8","0","Dropped"
"107193209","3","0","Dropped"
"107193405","3","0","Dropped"
"107200135","3","0","Dropped"
"107200135","2","0","Dropped"
"107200135","1","0","Dropped"
"107200135","3","0","Dropped"
"107200440","11","11","Active"
"107359666","3","0","Dropped"
"107366975","4","0","Dropped"
"107366975","2","0","Dropped"
"107366975","1","0","Dropped"
"107366975","2","0","Dropped"
"107367519","7","0","Dropped"
"107367524","2","0","Dropped"
"107367524","1","0","Dropped"
"107367524","5","0","Dropped"
"107367524","3","0","Dropped"
"107367638","3","0","Dropped"
"107367638","2","0","Dropped"
"107367638","2","0","Dropped"
"107367853","3","0","Dropped"
"107367853","2","0","Dropped"
"107367853","1","0","Dropped"
"107367853","1","0","Dropped"
"107369940","11","11","Active"
"107370326","1","0","Dropped"
"107370519","4","0","Dropped"
"107373214","3","0","Dropped"
"107373214","2","0","Dropped"
"107373214","1","0","Dropped"
"107373214","3","0","Dropped"
"107373231","12","3","Active"
"107373231","2","0","Dropped"
"107373231","1","0","Dropped"
"107373635","4","0","Dropped"
"107373635","8","0","Dropped"
"107373635","3","0","Dropped"
"107373635","2","0","Dropped"
"107373635","1","0","Dropped"
"107376918","14","2","Active"
"107377214","7","0","Dropped"
"107384258","15","1","Active"
"107396722","11","11","Active"
"107401037","3","0","Dropped"
"107441608","3","0","Dropped"
"107441608","2","0","Dropped"
"107444164","3","0","Dropped"
"107446261","1","0","Dropped"
"107446261","11","11","Lapsed"
"107446457","3","0","Dropped"
"107446457","2","0","Dropped"
"107449066","3","0","Dropped"
"107449101","3","0","Dropped"
"107452924","10","3","Lapsed"
"107460088","3","0","Dropped"
"107460391","3","0","Dropped"
"107460406","3","0","Dropped"
"107469784","3","0","Dropped"
"107469784","2","0","Dropped"
"107469784","1","0","Dropped"
"107469784","11","2","Lapsed"
"107473490","3","0","Dropped"
"107473490","2","0","Dropped"
"107473490","1","0","Dropped"
"107474169","14","1","Lapsed"
"107477170","10","10","Lapsed"
"107477499","3","0","Dropped"
"107477499","2","0","Dropped"
"107477866","3","0","Dropped"
"107477866","2","0","Dropped"
"107490590","2","0","Dropped"
"107490590","1","0","Dropped"
"107490590","3","0","Dropped"
"107490590","3","0","Dropped"
"107493790","3","3","Active"
"107508597","3","0","Dropped"
"107508597","2","0","Dropped"
"107510648","3","0","Dropped"
"107511087","3","0","Dropped"
"107511207","3","0","Dropped"
"107511207","2","0","Dropped"
"107511207","2","0","Dropped"
"107516369","3","0","Dropped"
"107516859","3","0","Dropped"
"107516859","11","0","Dropped"
"107524655","3","0","Dropped"
"107526284","3","0","Dropped"
"107526284","2","0","Dropped"
"107526284","1","0","Dropped"
"107526284","5","0","Dropped"
"107529634","3","0","Dropped"
"107529634","1","0","Dropped"
"107534747","3","0","Dropped"
"107535209","3","0","Dropped"
"107535209","2","0","Dropped"
"107535209","1","0","Dropped"
"107535209","1","0","Dropped"
"107535209","2","0","Dropped"
"107537340","2","0","Dropped"
"107537340","1","0","Dropped"
"107537340","11","11","Active"
"107537371","3","0","Dropped"
"107537371","2","0","Dropped"
"107537398","3","0","Dropped"
"107537398","2","0","Dropped"
"107537398","1","0","Dropped"
"107537434","4","0","Dropped"
"107537434","3","0","Dropped"
"107537434","2","0","Dropped"
"107537434","1","0","Dropped"
"107537602","2","0","Dropped"
"107537602","1","0","Dropped"
"107537602","3","0","Dropped"
"107537602","3","0","Dropped"
"107537619","3","0","Dropped"
"107537619","2","0","Dropped"
"107537619","1","0","Dropped"
"107537619","0","0","Dropped"
"107537896","3","0","Dropped"
"107537896","2","0","Dropped"
"107537917","3","0","Dropped"
"107537919","2","0","Dropped"
"107537919","1","0","Dropped"
"107537919","3","0","Dropped"
"107546230","3","0","Dropped"
"107546230","2","0","Dropped"
"107546230","1","0","Dropped"
"107546230","4","0","Dropped"
"107609432","3","0","Dropped"
"107609432","2","0","Dropped"
"107612661","3","0","Dropped"
"107612661","2","0","Dropped"
"107612661","2","0","Dropped"
"107612784","11","11","Active"
"107612850","3","0","Dropped"
"107612850","2","0","Dropped"
"107612850","1","0","Dropped"
"107612850","1","0","Dropped"
"107613051","10","0","Dropped"
"107613088","11","8","Active"
"107613144","3","0","Dropped"
"107613144","2","0","Dropped"
"107613144","1","0","Dropped"
"107613380","3","0","Dropped"
"107613874","3","0","Dropped"
"107613874","2","0","Dropped"
"107613897","3","0","Dropped"
"107613897","1","0","Dropped"
"107613914","2","0","Dropped"
"107613914","1","0","Dropped"
"107613914","11","11","Active"
"107613938","3","0","Dropped"
"107614118","3","0","Dropped"
"107614118","2","0","Dropped"
"107614118","1","0","Dropped"
"107614151","3","0","Dropped"
"107614287","3","0","Dropped"
"107614877","9","0","Dropped"
"107615010","3","0","Dropped"
"107615010","2","0","Dropped"
"107615010","1","0","Dropped"
"107615066","3","0","Dropped"
"107615066","2","0","Dropped"
"107615155","3","0","Dropped"
"107615197","10","0","Dropped"
"107615254","3","0","Dropped"
"107615254","2","0","Dropped"
"107615254","1","0","Dropped"
"107615254","1","0","Dropped"
"107615484","3","0","Dropped"
"107615816","11","11","Active"
"107615831","3","0","Dropped"
"107615855","3","0","Dropped"
"107615880","3","0","Dropped"
"107615880","2","0","Dropped"
"107615880","1","0","Dropped"
"107615880","4","0","Dropped"
"107615944","3","0","Dropped"
"107616268","3","0","Dropped"
"107616268","2","0","Dropped"
"107616268","1","0","Dropped"
"107616268","4","0","Dropped"
"107616776","3","0","Dropped"
"107616776","1","0","Dropped"
"107617615","3","0","Dropped"
"107617615","3","0","Dropped"
"107617615","2","0","Dropped"
"107617615","1","0","Dropped"
"107617853","3","0","Dropped"
"107617853","1","0","Dropped"
"107617853","3","0","Dropped"
"107617853","2","0","Dropped"
"107618207","3","0","Dropped"
"107618251","11","11","Active"
"107618275","3","0","Dropped"
"107618275","2","0","Dropped"
"107618275","1","0","Dropped"
"107618275","3","0","Dropped"
"107618291","11","2","Active"
"107619108","3","0","Dropped"
"107619108","2","0","Dropped"
"107619141","3","0","Dropped"
"107619141","4","0","Dropped"
"107619176","3","0","Dropped"
"107619193","3","0","Dropped"
"107619218","3","0","Dropped"
"107619218","2","0","Dropped"
"107619266","10","0","Dropped"
"107619287","1","0","Dropped"
"107619287","3","0","Dropped"
"107619287","3","0","Dropped"
"107619287","2","0","Dropped"
"107619306","3","0","Dropped"
"107619306","2","0","Dropped"
"107619306","1","0","Dropped"
"107619306","4","0","Dropped"
"107619338","3","0","Dropped"
"107619419","3","0","Dropped"
"107619591","3","0","Dropped"
"107619591","2","0","Dropped"
"107619591","1","0","Dropped"
"107619591","11","11","Active"
"107631423","3","0","Dropped"
"107631423","2","0","Dropped"
"107631423","1","0","Dropped"
"107631423","2","0","Dropped"
"107632344","3","0","Dropped"
"107632344","1","0","Dropped"
"107633261","3","0","Dropped"
"107633797","3","0","Dropped"
"107633797","2","0","Dropped"
"107633797","1","0","Dropped"
"107634243","3","0","Dropped"
"107635020","1","0","Dropped"
"107635020","3","0","Dropped"
"107635020","2","0","Dropped"
"107635514","3","0","Dropped"
"107635514","2","0","Dropped"
"107636106","3","0","Dropped"
"107636106","2","0","Dropped"
"107636106","1","0","Dropped"
"107636106","5","0","Dropped"
"107637620","3","0","Dropped"
"107637620","2","0","Dropped"
"107637620","1","0","Dropped"
"107637620","1","0","Dropped"
"107637620","3","0","Dropped"
"107637620","5","0","Dropped"
"107637620","3","0","Dropped"
"107638097","3","0","Dropped"
"107638719","3","0","Dropped"
"107638719","2","0","Dropped"
"107638719","1","0","Dropped"
"107638719","11","11","Active"
"107639132","3","0","Dropped"
"107639826","7","0","Dropped"
"107640309","3","0","Dropped"
"107640309","1","0","Dropped"
"107640309","4","0","Dropped"
"107640856","3","0","Dropped"
"107640856","2","0","Dropped"
"107640856","1","0","Dropped"
"107640856","1","0","Dropped"
"107640856","2","0","Dropped"
"107641418","11","2","Active"
"107641768","3","0","Dropped"
"107642352","3","0","Dropped"
"107642352","2","0","Dropped"
"107642352","1","0","Dropped"
"107642352","1","0","Dropped"
"107642942","3","0","Dropped"
"107642942","2","0","Dropped"
"107642942","12","6","Active"
"107645447","3","0","Dropped"
"107645974","3","0","Dropped"
"107645974","2","0","Dropped"
"107645974","1","0","Dropped"
"107645974","6","0","Dropped"
"107646841","11","11","Lapsed"
"107646853","3","0","Dropped"
"107646853","11","11","Active"
"107647250","3","0","Dropped"
"107678642","3","0","Dropped"
"107705035","3","3","Active"
"107706539","3","0","Dropped"
"107710520","3","0","Dropped"
"107710523","3","0","Dropped"
"107710622","5","0","Dropped"
"107710622","2","0","Dropped"
"107710622","1","0","Dropped"
"107710622","11","4","Active"
"107746810","3","0","Dropped"
"107746810","2","0","Dropped"
"107747634","3","0","Dropped"
"107747634","2","0","Dropped"
"107747634","1","0","Dropped"
"107747873","6","0","Dropped"
"107752953","3","0","Dropped"
"107754574","3","0","Dropped"
"107755204","3","0","Dropped"
"107759312","11","11","Active"
"107759744","3","0","Dropped"
"107759774","3","0","Dropped"
"107759887","3","0","Dropped"
"107759903","3","0","Dropped"
"107759917","3","0","Dropped"
"107759932","3","0","Dropped"
"107760349","3","0","Dropped"
"107760349","2","0","Dropped"
"107760356","3","0","Dropped"
"107760425","3","0","Dropped"
"107760456","3","0","Dropped"
"107760466","3","0","Dropped"
"107760476","11","0","Dropped"
"107760486","3","0","Dropped"
"107760495","3","0","Dropped"
"107760514","3","0","Dropped"
"107760535","3","0","Dropped"
"107760549","3","0","Dropped"
"107760549","4","0","Dropped"
"107760652","3","0","Dropped"
"107760652","2","0","Dropped"
"107760652","4","0","Dropped"
"107760767","3","0","Dropped"
"107760767","2","0","Dropped"
"107760767","1","0","Dropped"
"107760767","8","0","Dropped"
"107761565","3","0","Dropped"
"107762020","3","0","Dropped"
"107762020","1","0","Dropped"
"107762036","3","0","Dropped"
"107762048","3","0","Dropped"
"107762067","13","1","Lapsed"
"107762081","11","11","Active"
"107762129","3","0","Dropped"
"107762144","2","0","Dropped"
"107762144","1","0","Dropped"
"107762144","1","0","Dropped"
"107762144","11","11","Active"
"107762156","3","0","Dropped"
"107762156","1","0","Dropped"
"107762170","10","0","Dropped"
"107762189","5","0","Dropped"
"107762189","3","0","Dropped"
"107762189","2","0","Dropped"
"107762189","1","0","Dropped"
"107762214","3","0","Dropped"
"107762214","2","0","Dropped"
"107762214","1","0","Dropped"
"107762214","11","11","Active"
"107762233","3","0","Dropped"
"107762246","2","0","Dropped"
"107762246","1","0","Dropped"
"107762246","11","11","Active"
"107762268","3","0","Dropped"
"107762268","2","0","Dropped"
"107764228","11","11","Active"
"107765978","10","5","Active"
"107766462","10","0","Dropped"
"107766992","1","0","Dropped"
"107766992","3","0","Dropped"
"107766992","2","0","Dropped"
"107766992","1","0","Dropped"
"107821767","3","0","Dropped"
"107821767","1","0","Dropped"
"107821767","11","11","Active"
"107821767","1","0","Dropped"
"107847940","1","0","Dropped"
"107857474","3","3","Active"
"107857474","9","9","Active"
"107857474","1","0","Dropped"
"107857474","11","11","Active"
"107857474","2","0","Dropped"
"107865698","3","0","Dropped"
"107866156","3","0","Dropped"
"107866156","2","0","Dropped"
"107866156","1","0","Dropped"
"107866156","4","0","Dropped"
"107866995","3","0","Dropped"
"107868409","3","0","Dropped"
"107869976","3","0","Dropped"
"107869976","2","0","Dropped"
"107869976","1","0","Dropped"
"107870345","3","0","Dropped"
"107870345","2","0","Dropped"
"107870345","1","0","Dropped"
"107870345","1","0","Dropped"
"107870345","4","0","Dropped"
"107870849","3","0","Dropped"
"107870849","2","0","Dropped"
"107870849","1","0","Dropped"
"107870849","6","0","Dropped"
"107871411","3","0","Dropped"
"107872926","3","0","Dropped"
"107872926","2","0","Dropped"
"107873144","3","0","Dropped"
"107873144","13","3","Active"
"107873144","1","0","Dropped"
"107873144","1","0","Dropped"
"107873144","3","0","Dropped"
"107873204","3","0","Dropped"
"107873204","2","0","Dropped"
"107873204","1","0","Dropped"
"107873226","3","0","Dropped"
"107873226","2","0","Dropped"
"107873226","1","0","Dropped"
"107873226","2","0","Dropped"
"107873317","3","0","Dropped"
"107874802","3","0","Dropped"
"107874802","2","0","Dropped"
"107874802","1","0","Dropped"
"107874802","5","0","Dropped"
"107875014","3","0","Dropped"
"107875230","3","0","Dropped"
"107875230","2","0","Dropped"
"107882365","1","0","Dropped"
"107882365","10","0","Dropped"
"107882365","4","0","Dropped"
"107882365","3","0","Dropped"
"107882528","2","0","Dropped"
"107882528","1","0","Dropped"
"107882528","8","0","Dropped"
"107882649","14","2","Active"
"107882876","3","0","Dropped"
"107882876","2","0","Dropped"
"107883111","3","0","Dropped"
"107883501","3","0","Dropped"
"107883737","3","0","Dropped"
"107883847","3","0","Dropped"
"107884853","12","6","Active"
"107884937","3","0","Dropped"
"107885454","3","0","Dropped"
"107886051","3","0","Dropped"
"107886082","4","0","Dropped"
"107886082","3","0","Dropped"
"107886082","2","0","Dropped"
"107886105","5","5","Active"
"107886105","10","6","Active"
"107886237","3","0","Dropped"
"107886272","3","0","Dropped"
"107886272","13","4","Active"
"107886292","3","0","Dropped"
"107888429","3","0","Dropped"
"107889168","3","0","Dropped"
"107931980","3","0","Dropped"
"107933364","3","0","Dropped"
"107933364","2","0","Dropped"
"107933364","1","0","Dropped"
"107933364","5","0","Dropped"
"107935933","3","0","Dropped"
"107935933","2","0","Dropped"
"107935933","6","0","Dropped"
"107937920","13","1","Lapsed"
"107938411","3","0","Dropped"
"107938974","3","0","Dropped"
"107939509","3","0","Dropped"
"107940099","3","0","Dropped"
"108214219","5","0","Dropped"
"108214219","2","0","Dropped"
"108287888","1","0","Dropped"
"108287888","3","0","Dropped"
"108287888","2","0","Dropped"
"108287888","1","0","Dropped"
"108287888","10","1","Active"
"108288178","1","1","Active"
"108288185","1","0","Dropped"
"108288360","1","1","Active"
"108288418","3","0","Dropped"
"108288450","6","6","Active"
"108288461","9","9","Active"
"108288461","2","0","Dropped"
"108288461","3","0","Dropped"
"108289680","8","8","Active"
"108291513","2","0","Dropped"
"108291513","3","0","Dropped"
"108291513","2","0","Dropped"
"108291779","1","0","Dropped"
"108291779","8","0","Dropped"
"108291779","3","0","Dropped"
"108291779","2","0","Dropped"
"108291971","1","0","Dropped"
"108291971","9","0","Dropped"
"108291971","3","0","Dropped"
"108292348","6","6","Active"
"108292815","3","0","Dropped"
"108292815","2","0","Dropped"
"108292815","1","0","Dropped"
"108292815","2","0","Dropped"
"108294090","1","0","Dropped"
"108294090","5","0","Dropped"
"108294210","3","0","Dropped"
"108294210","10","0","Dropped"
"108294210","5","0","Dropped"
"108294563","14","1","Active"
"108294750","3","0","Dropped"
"108296035","2","0","Dropped"
"108296035","1","0","Dropped"
"108296035","11","11","Active"
"108297446","3","0","Dropped"
"108297680","13","13","Active"
"108301116","3","0","Dropped"
"108301116","3","0","Dropped"
"108301116","1","0","Dropped"
"108301116","3","0","Dropped"
"108303215","1","0","Dropped"
"108303215","7","0","Dropped"
"108303407","4","0","Dropped"
"108303407","2","0","Dropped"
"108303407","1","0","Dropped"
"108303407","3","0","Dropped"
"108306822","3","0","Dropped"
"108306822","2","0","Dropped"
"108306822","7","0","Dropped"
"108306899","2","0","Dropped"
"108306899","1","0","Dropped"
"108306899","11","2","Active"
"108310694","4","4","Active"
"108310709","4","0","Dropped"
"108310709","1","0","Dropped"
"108310709","7","0","Dropped"
"108311349","1","0","Dropped"
"108311349","5","0","Dropped"
"108311349","4","0","Dropped"
"108311349","2","0","Dropped"
"108314061","1","0","Dropped"
"108314061","3","0","Dropped"
"108314061","2","0","Dropped"
"108319213","11","11","Active"
"108323309","2","0","Dropped"
"108323416","3","0","Dropped"
"108323416","2","0","Dropped"
"108323416","1","0","Dropped"
"108323416","11","5","Active"
"108325403","3","0","Dropped"
"108326558","11","11","Active"
"108326559","12","12","Active"
"108326563","12","12","Active"
"108326564","8","0","Dropped"
"108326566","10","10","Active"
"108326576","12","12","Active"
"108326578","11","11","Active"
"108326578","2","0","Dropped"
"108326579","1","0","Dropped"
"2013916","6","6","Lapsed"
"2013917","1","0","Dropped"
"2013918","1","0","Dropped"
"2013919","1","0","Dropped"
"2013920","1","0","Dropped"
"2013921","1","0","Dropped"
"2013928","1","0","Dropped"
"2013929","1","0","Dropped"
"2013930","5","0","Dropped"
"2013931","1","0","Dropped"
"2013932","1","0","Dropped"
"2013933","1","0","Dropped"
"2013934","1","0","Dropped"
"2013935","1","0","Dropped"
"2013936","2","0","Dropped"
"2013937","1","0","Dropped"
"2013938","1","0","Dropped"
"2013939","5","5","Active"
"2013940","5","5","Active"
"2013941","7","2","Active"
"2013942","7","3","Active"
"2013943","1","0","Dropped"
"2013944","1","0","Dropped"
"2013953","1","0","Dropped"
"2013954","1","0","Dropped"
"2013955","1","0","Dropped"
"2013956","1","0","Dropped"
"2013957","2","0","Dropped"
"2013959","1","0","Dropped"
"2013960","1","0","Dropped"
"2013945","7","7","Active"
"2013946","1","0","Dropped"
"2013947","2","0","Dropped"
"2013948","1","0","Dropped"
"2013949","1","0","Dropped"
"2013950","1","0","Dropped"
"20131011","1","0","Dropped"
"20131012","1","0","Dropped"
"20131013","4","0","Dropped"
"20131014","7","4","Active"
"20131015","1","0","Dropped"
"20131016","1","0","Dropped"
"20131017","1","0","Dropped"
"20131018","7","7","Active"
"20131019","1","0","Dropped"
"20131020","7","5","Active"
"20131021","1","0","Dropped"
"20131023","2","0","Dropped"
"20131024","7","2","Active"
"20131025","2","0","Dropped"
"20131026","7","7","Active"
"20131027","1","0","Dropped"
"20131028","2","0","Dropped"
"20131029","1","0","Dropped"
"20131033","1","0","Dropped"
"20131042","1","0","Dropped"
"20131043","1","0","Dropped"
"20131044","1","0","Dropped"
"20131046","1","0","Dropped"
"20131047","1","0","Dropped"
"20131048","7","7","Active"
"20131049","1","0","Dropped"
"20131050","3","0","Dropped"
"20131051","5","0","Dropped"
"20131052","1","0","Dropped"
"20131053","1","0","Dropped"
"20131054","7","5","Active"
"20131055","1","0","Dropped"
"20131056","1","0","Dropped"
"20131057","1","0","Dropped"
"20131058","1","0","Dropped"
"20131059","1","0","Dropped"
"20131060","1","0","Dropped"
"20131061","1","0","Dropped"
"20131068","7","7","Lapsed"
"20131069","2","0","Dropped"
"20131077","2","2","Active"
"20131080","1","0","Dropped"
"20131081","1","0","Dropped"
"20131082","1","0","Dropped"
"20131083","4","0","Dropped"
"20131084","1","0","Dropped"
"20131006","1","0","Dropped"
"20131007","6","4","Active"
"20131008","7","7","Active"
"20131010","1","0","Dropped"
"20131102","1","0","Dropped"
"20131103","1","0","Dropped"
"20131104","7","6","Active"
"20131105","2","0","Dropped"
"20131106","1","0","Dropped"
"20131107","1","0","Dropped"
"20131116","5","0","Dropped"
"20131117","1","0","Dropped"
"20131118","1","0","Dropped"
"20131119","1","0","Dropped"
"20131120","1","0","Dropped"
"20131121","1","0","Dropped"
"20131122","1","0","Dropped"
"20131129","1","1","Active"
"20131131","1","0","Dropped"
"20131133","4","0","Dropped"
"20131141","2","0","Dropped"
"20131142","3","0","Dropped"
"20131146","1","0","Dropped"
"20131147","7","3","Active"
"20131148","6","1","Lapsed"
"20131085","1","0","Dropped"
"20131086","1","0","Dropped"
"20131087","7","5","Active"
"20131088","7","0","Active"
"20131089","1","0","Dropped"
"20131090","7","3","Active"
"20131091","1","0","Dropped"
"20131149","1","0","Dropped"
"20131150","1","0","Dropped"
"20131151","1","0","Dropped"
"20131152","1","0","Dropped"
"20131153","1","0","Dropped"
"20131154","1","0","Dropped"
"20131163","2","2","Active"
"20131164","1","0","Dropped"
"20131165","1","0","Dropped"
"20131167","7","4","Active"
"20131169","1","0","Dropped"
"20131170","1","0","Dropped"
"20131171","6","1","Lapsed"
"20131225","1","0","Dropped"
"20131226","1","0","Dropped"
"20131227","1","0","Dropped"
"20131228","1","0","Dropped"
"20131229","1","0","Dropped"
"20131237","1","0","Dropped"
"20131238","1","0","Dropped"
"20131239","1","0","Dropped"
"20131240","1","0","Dropped"
"20131241","1","0","Dropped"
"20131248","1","0","Dropped"
"20131249","1","0","Dropped"
"20131250","1","0","Dropped"
"20131251","1","0","Dropped"
"20131252","1","0","Dropped"
"20131258","2","0","Dropped"
"20131259","1","0","Dropped"
"20131260","1","0","Dropped"
"20131261","1","0","Dropped"
"20131262","7","3","Active"
"20131263","1","0","Dropped"
"20131309","7","1","Active"
"20131310","1","0","Dropped"
"20131311","3","0","Dropped"
"20131312","2","0","Dropped"
"20131313","1","0","Dropped"
"20131314","1","0","Dropped"
"20131316","1","0","Dropped"
"20131324","2","0","Dropped"
"20131325","1","0","Dropped"
"20131326","1","0","Dropped"
"20131327","1","0","Dropped"
"20131328","1","0","Dropped"
"20131348","1","0","Dropped"
"20131349","1","0","Dropped"
"20131350","1","0","Dropped"
"20131351","1","0","Dropped"
"20131352","1","0","Dropped"
"20131361","1","0","Dropped"
"20131362","2","0","Dropped"
"20131363","1","0","Dropped"
"20131364","1","0","Dropped"
"20131365","1","0","Dropped"
"20131372","1","0","Dropped"
"20131373","1","0","Dropped"
"20131374","1","0","Dropped"
"20131375","1","0","Dropped"
"20131376","1","0","Dropped"
"20131387","1","0","Dropped"
"20131390","1","0","Dropped"
"20131398","1","0","Dropped"
"20131399","1","0","Dropped"
"20131400","1","0","Dropped"
"20131401","2","0","Dropped"
"20131402","1","0","Dropped"
"20131403","1","0","Dropped"
"20131404","1","0","Dropped"
"20131416","1","0","Dropped"
"20131417","1","0","Dropped"
"20131424","1","0","Dropped"
"20131425","3","0","Dropped"
"20131429","1","0","Dropped"
"20131434","1","0","Dropped"
"20131435","1","0","Dropped"
"20131435","0","0","Active"
"20131436","1","0","Dropped"
"20131437","1","0","Dropped"
"20131438","7","2","Active"
"20131439","1","0","Dropped"
"20131440","5","0","Dropped"
"20131441","1","0","Dropped"
"20131442","3","0","Dropped"
"20131443","1","0","Dropped"
"20131453","1","0","Dropped"
"20131454","1","0","Dropped"
"20131455","2","0","Dropped"
"20131456","1","0","Dropped"
"20131457","1","0","Dropped"
"20131458","1","0","Dropped"
"20131459","1","0","Dropped"
"20131465","1","0","Dropped"
"20131466","1","0","Dropped"
"20131467","1","0","Dropped"
"20131468","1","0","Dropped"
"20131469","1","0","Dropped"
"20131470","1","0","Dropped"
"20131477","1","0","Dropped"
"20131478","1","0","Dropped"
"20131479","1","0","Dropped"
"20131480","1","0","Dropped"
"20131481","1","0","Dropped"
"20131482","1","0","Dropped"
"20131495","1","0","Dropped"
"20131496","1","0","Dropped"
"20131497","1","0","Dropped"
"20131498","1","0","Dropped"
"20131499","1","0","Dropped"
"20131500","2","0","Dropped"
"20131501","1","0","Dropped"
"20131508","1","0","Dropped"
"20131509","3","0","Dropped"
"20131511","3","0","Dropped"
"20131512","1","0","Dropped"
"20131264","7","3","Active"
"20131265","2","0","Dropped"
"20131266","7","7","Active"
"20131266","4","4","Active"
"20131391","1","0","Dropped"
"20131392","1","0","Dropped"
"20131393","1","0","Dropped"
"20131394","2","0","Dropped"
"20131395","1","0","Dropped"
"20131396","1","0","Dropped"
"20131397","1","0","Dropped"
"20131513","1","0","Dropped"
"20131514","7","7","Active"
"20131515","1","0","Dropped"
"20131516","1","0","Dropped"
"20131517","2","0","Dropped"
"20131518","1","0","Dropped"
"20131527","1","0","Dropped"
"20131529","1","0","Dropped"
"20131530","1","0","Dropped"
"20131531","1","0","Dropped"
"20131532","7","2","Lapsed"
"20131533","7","7","Active"
"20131534","1","0","Dropped"
"20131535","1","0","Dropped"
"20131536","1","0","Dropped"
"20131537","1","0","Dropped"
